#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Strain0013_contigs.fa,contig00001,207407,209962,-,inlJ,1-2556/2556,===============,0/0,100.00,97.89,vfdb,NP_466343,(inlJ) internalin J [InlJ (VF0445)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00002,6375,7265,-,inlC,1-891/891,===============,0/0,100.00,99.78,vfdb,NP_465311,(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00002,50837,52549,+,fbpA,1-1713/1713,===============,0/0,100.00,99.88,vfdb,NP_465354,(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00002,67125,67589,-,lspA,1-465/465,===============,0/0,100.00,100.00,vfdb,NP_465369,(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00002,70514,71446,-,lpeA,1-933/933,===============,0/0,100.00,97.53,vfdb,NP_465372,(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00002,291525,292502,-,bsh,1-978/978,===============,0/0,100.00,99.90,vfdb,NP_465591,(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00003,122842,124710,+,oatA,1-1869/1869,===============,0/0,100.00,99.57,vfdb,NP_464816,(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00003,124744,126540,-,inlK,1-1797/1797,===============,0/0,100.00,99.44,vfdb,NP_464815,(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00004,211319,212761,+,iap/cwhA,1-1449/1449,========/======,1/6,99.59,99.38,vfdb,NP_464110,(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00005,25994,27712,-,aut,1-1719/1719,===============,0/0,100.00,99.88,vfdb,NP_464601,(aut) autolysin [Auto (VF0348)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00005,104709,106883,+,clpE,1-2175/2175,===============,0/0,100.00,99.95,vfdb,NP_464522,(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00005,163976,164971,-,lplA1,1-996/996,===============,0/0,100.00,98.90,vfdb,NP_464456,(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00005,263061,264446,-,hpt,1-1386/1386,===============,0/0,100.00,97.76,vfdb,NP_464364,(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e],
Strain0013_contigs.fa,contig00006,233663,236263,+,lap,1-2601/2601,===============,0/0,100.00,99.92,vfdb,NP_465159,(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e],
