#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
EQA2315_contigs.fa,contig00001,3540,4373,-,csgG,1-834/834,===============,0/0,100.00,99.64,vfdb,NP_460110,(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,4400,4816,-,csgF,1-417/417,===============,0/0,100.00,100.00,vfdb,NP_460111,(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,4843,5238,-,csgE,1-396/396,===============,0/0,100.00,99.50,vfdb,NP_460112,(csgE) curli production assembly/transport protein CsgE [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,5243,5893,-,csgD,1-651/651,===============,0/0,100.00,99.69,vfdb,NP_460113,(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,6648,7103,+,csgB,1-456/456,===============,0/0,100.00,99.78,vfdb,NP_460114,(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,7145,7600,+,csgA,1-456/456,===============,0/0,100.00,98.90,vfdb,NP_460115,(csgA) curlin major subunit CsgA [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,7662,7988,+,csgC,1-327/327,===============,0/0,100.00,100.00,vfdb,NP_460116,(csgC) curli assembly protein CsgC [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,85355,86365,-,sifA,1-1011/1011,===============,0/0,100.00,99.70,vfdb,NP_460194,(sifA) type III secretion system effector SifA N-terminal SKIP-binding domain C-terminal guanine nucleotide exchange factor activity [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,264523,264924,+,spiC/ssaB,1-402/402,===============,0/0,100.00,99.75,vfdb,NP_460358,(spiC/ssaB) type III secretion system protein SsaB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,264926,266419,+,ssaC,1-1494/1494,===============,0/0,100.00,99.00,vfdb,NP_460359,(ssaC) type III secretion system secretin SsaC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,266400,267611,+,ssaD,1-1212/1212,===============,0/0,100.00,99.42,vfdb,NP_460360,(ssaD) type III secretion system outer MS ring protein SsaD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,267619,267861,+,ssaE,1-243/243,===============,0/0,100.00,100.00,vfdb,NP_460361,(ssaE) chaperone for sseB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,268064,268390,+,sseA,1-327/327,===============,0/0,100.00,99.69,vfdb,NP_460362,(sseA) chaperone for sseB and sseD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,268397,268987,+,sseB,1-591/591,===============,0/0,100.00,100.00,vfdb,NP_460363,(sseB) type III secretion system effector SseB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,268984,269457,+,sscA,1-474/474,===============,0/0,100.00,98.94,vfdb,NP_460364,(sscA) chaperone for sseC [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,269460,270914,+,sseC,1-1455/1455,===============,0/0,100.00,98.14,vfdb,NP_460365,(sseC) type III secretion system hydrophilic translocator pore protein SseC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2315_contigs.fa,contig00001,270930,271517,+,sseD,1-588/588,===============,0/0,100.00,97.45,vfdb,NP_460366,(sseD) type III secretion system hydrophilic translocator pore protein SseD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
