#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
Strain0016_contigs.fa,contig00001,54319,56115,+,inlK,1-1797/1797,===============,0/0,100.00,99.44,vfdb,NP_464815,(inlK) internalin K [InlK (VF0439)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00001,56149,58017,-,oatA,1-1869/1869,===============,0/0,100.00,99.57,vfdb,NP_464816,(oatA) peptidoglycan O-acetyltransferase [OatA (VF0441)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00001,414546,417146,+,lap,1-2601/2601,===============,0/0,100.00,99.92,vfdb,NP_465159,(lap) Listeria adhesion protein Lap [Lap (VF0444)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00001,454527,459662,-,lapB,1-5136/5136,===============,0/0,100.00,98.05,vfdb,NP_465191,(lapB) Listeria adhesion protein LapB [LapB (VF0446)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00002,207389,209944,-,inlJ,1-2556/2556,===============,0/0,100.00,97.89,vfdb,NP_466343,(inlJ) internalin J [InlJ (VF0445)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00003,177116,178834,-,aut,1-1719/1719,===============,0/0,100.00,99.88,vfdb,NP_464601,(aut) autolysin [Auto (VF0348)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00003,255831,258005,+,clpE,1-2175/2175,===============,0/0,100.00,99.95,vfdb,NP_464522,(clpE) ATP-dependent protease [ClpE (VF0073)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00003,315098,316093,-,lplA1,1-996/996,===============,0/0,100.00,98.90,vfdb,NP_464456,(lplA1) lipoate protein ligase [LplA1 (VF0347)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00004,6357,7247,-,inlC,1-891/891,===============,0/0,100.00,99.78,vfdb,NP_465311,(inlC) internalin C [InlC (VF0438)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00004,50819,52531,+,fbpA,1-1713/1713,===============,0/0,100.00,99.88,vfdb,NP_465354,(fbpA) fibronectin-binding protein [FbpA (VF0349)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00004,67107,67571,-,lspA,1-465/465,===============,0/0,100.00,100.00,vfdb,NP_465369,(lspA) signal peptidase II [Lsp (VF0351)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00004,70496,71428,-,lpeA,1-933/933,===============,0/0,100.00,97.53,vfdb,NP_465372,(lpeA) lipoprotein promoting cell invasion [LpeA (VF0346)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00004,291507,292484,-,bsh,1-978/978,===============,0/0,100.00,99.90,vfdb,NP_465591,(bsh) bile salt hydrolase [BSH (VF0350)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00005,35137,37890,-,ami,1-2754/2754,===============,0/0,100.00,99.56,vfdb,NP_466081,(ami) autolysin amidase adhesin [Ami (VF0071)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00005,47640,48077,+,gtcA,1-438/438,===============,0/0,100.00,100.00,vfdb,NP_466072,(gtcA) wall teichoic acid glycosylation protein GtcA [GtcA (VF0448)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00005,130447,131043,-,clpP,1-597/597,===============,0/0,100.00,100.00,vfdb,NP_465991,(clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00006,89026,90468,+,iap/cwhA,1-1449/1449,========/======,1/6,99.59,99.38,vfdb,NP_464110,(iap/cwhA) P60 extracellular protein invasion associated protein Iap [p60 (VF0068)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00007,28059,28676,-,lntA,1-618/618,===============,0/0,100.00,90.78,vfdb,NP_463967,(lntA) listeria nuclear targeted protein A [LntA (VF0440)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00007,30346,32238,-,inlB,1-1893/1893,===============,0/0,100.00,99.37,vfdb,NP_463963,(inlB) Internalin B [InlB (VF0070)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00007,32323,34725,-,inlA,1-2403/2403,===============,0/0,100.00,98.04,vfdb,NP_463962,(inlA) Internalin A [InlA (VF0069)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00007,50377,51777,-,pdgA,1-1401/1401,===============,0/0,100.00,99.86,vfdb,NP_463944,(pdgA) Peptidoglycan N-deacetylase [PgdA (VF0442)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00007,57165,59630,-,inlF,1-2466/2466,===============,0/0,100.00,99.68,vfdb,NP_463939,(inlF) internalin F [InlF (VF0447)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00008,2262,4724,+,clpC,1-2463/2463,===============,0/0,100.00,99.88,vfdb,NP_463763,(clpC) endopeptidase Clp ATP-binding chain C [ClpC (VF0072)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00008,96233,97432,-,vip,1-1200/1200,===============,0/0,100.00,100.00,vfdb,NP_463850,(vip) surface adhesin Vip [Vip (VF0443)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00009,20240,21121,+,prsA2,1-882/882,===============,0/0,100.00,99.77,vfdb,NP_465743,(prsA2) post translocation chaperone PrsA2 [PrsA2 (VF0449)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00012,30531,31244,-,prfA,1-714/714,===============,0/0,100.00,100.00,vfdb,NP_463731,(prfA) listeriolysin positive regulatory protein [PrfA (VF0062)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00012,31515,32468,-,plcA,1-954/954,===============,0/0,100.00,98.22,vfdb,NP_463732,(plcA) phosphatidylinositol-specific phospholipase c [PlcA (VF0063)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00012,32710,34299,+,hly,1-1590/1590,===============,0/0,100.00,99.56,vfdb,NP_463733,(hly) listeriolysin O precursor [LLO (VF0064)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00012,34628,36160,+,mpl,1-1533/1533,===============,0/0,100.00,99.74,vfdb,NP_463734,(mpl) Zinc metalloproteinase precursor [Mpl (VF0065)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00012,36359,38278,+,actA,1-1920/1920,===============,0/0,100.00,99.27,vfdb,NP_463735,(actA) actin-assembly inducing protein precursor [ActA (VF0066)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00012,38314,39183,+,plcB,1-870/870,===============,0/0,100.00,99.77,vfdb,NP_463736,(plcB) phospholipase C [PlcB (VF0067)] [Listeria monocytogenes EGD-e],
Strain0016_contigs.fa,contig00013,38132,39517,+,hpt,1-1386/1386,===============,0/0,100.00,97.76,vfdb,NP_464364,(hpt) hexose phosphate transport protein [Hpt (VF0264)] [Listeria monocytogenes EGD-e],
