#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
EQA2316_contigs.fa,contig00001,145335,146708,+,steC,1-1374/1374,===============,0/0,100.00,99.42,vfdb,NP_460656,(steC) type III secretion system effector SteC [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,214349,215575,-,sseJ,1-1227/1227,===============,0/0,100.00,99.76,vfdb,NP_460590,(sseJ) type III secretion system effector SseJ glycerophospholipid:cholesterol acyltransferase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,216845,217246,-,steB,1-402/402,===============,0/0,100.00,99.75,vfdb,AAL20547,(steB) type III secretion system effector SteB [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,243149,244099,-,sifB,1-951/951,===============,0/0,100.00,98.74,vfdb,NP_460561,(sifB) type III secretion system effector SifB [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,266134,266766,+,steA,1-633/633,===============,0/0,100.00,97.31,vfdb,NP_460542,(steA) type III secretion system effector SteA [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,424395,425453,-,ssaU,1-1059/1059,===============,0/0,100.00,98.96,vfdb,NP_460387,(ssaU) type III secretion system export apparatus switch protein SsaU [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,425450,426229,-,ssaT,1-780/780,===============,0/0,100.00,98.72,vfdb,NP_460386,(ssaT) type III secretion system minor export apparatus protein SsaT [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,426230,426496,-,ssaS,1-267/267,===============,0/0,100.00,99.25,vfdb,NP_460385,(ssaS) type III secretion system minor export apparatus protein SsaS [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,426493,427140,-,ssaR,1-648/648,===============,0/0,100.00,99.07,vfdb,NP_460384,(ssaR) type III secretion system minor export apparatus protein SsaR [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,427208,428176,-,ssaQ,1-969/969,===============,0/0,100.00,98.56,vfdb,NP_460383,(ssaQ) type III secretion system C ring protein SsaQ [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,428157,428531,-,ssaP,1-375/375,===============,0/0,100.00,99.73,vfdb,NP_460382,(ssaP) type III secretion system needle length regulator SsaP [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,428512,428889,-,ssaO,1-378/378,===============,0/0,100.00,99.73,vfdb,NP_460381,(ssaO) type III secretion system stalk protein SsaO [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,428892,430193,-,ssaN,1-1302/1302,===============,0/0,100.00,99.16,vfdb,NP_460380,(ssaN) type III secretion system ATPase SsaN [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,430183,432228,-,ssaV,1-2046/2046,===============,0/0,100.00,100.00,vfdb,NP_460379,(ssaV) type III secretion system major export apparatus protein ssaV [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,432213,432581,-,ssaM,1-369/369,===============,0/0,100.00,99.46,vfdb,NP_460378,(ssaM) type III secretion system protein SsaM [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,432639,433655,-,ssaL,1-1017/1017,===============,0/0,100.00,99.31,vfdb,NP_460377,(ssaL) type III secretion system gatekeeper SsaL [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,433621,434295,-,ssaK,1-675/675,===============,0/0,100.00,99.41,vfdb,NP_460376,(ssaK) type III secretion system stator SsaK [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,434858,435607,-,ssaJ,1-750/750,===============,0/0,100.00,98.67,vfdb,NP_460374,(ssaJ) type III secretion system inner MS ring protein SsaJ [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,435604,435852,-,ssaI,1-249/249,===============,0/0,100.00,100.00,vfdb,NP_460373,(ssaI) type III secretion system inner rod protein SsaI [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,435864,436091,-,ssaH,1-228/228,===============,0/0,100.00,100.00,vfdb,NP_460372,(ssaH) type III secretion system protein SsaH [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,436132,436347,-,ssaG,1-216/216,===============,0/0,100.00,100.00,vfdb,NP_460371,(ssaG) type III secretion system needle filament protein SsaG [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,436441,437130,-,sseG,1-690/690,===============,0/0,100.00,99.42,vfdb,NP_460370,(sseG) type III secretion system effector SseG [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,437127,437909,-,sseF,1-783/783,===============,0/0,100.00,98.98,vfdb,NP_460369,(sseF) type III secretion system effector SseF [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,437925,438359,-,sscB,1-435/435,===============,0/0,100.00,100.00,vfdb,NP_460368,(sscB) chaperone for sseF [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,438411,438827,-,sseE,1-417/417,===============,0/0,100.00,99.76,vfdb,NP_460367,(sseE) type III secretion system effector SseE [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,438830,439417,-,sseD,1-588/588,===============,0/0,100.00,97.45,vfdb,NP_460366,(sseD) type III secretion system hydrophilic translocator pore protein SseD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,439433,440887,-,sseC,1-1455/1455,===============,0/0,100.00,98.08,vfdb,NP_460365,(sseC) type III secretion system hydrophilic translocator pore protein SseC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,440890,441363,-,sscA,1-474/474,===============,0/0,100.00,98.94,vfdb,NP_460364,(sscA) chaperone for sseC [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,441360,441950,-,sseB,1-591/591,===============,0/0,100.00,100.00,vfdb,NP_460363,(sseB) type III secretion system effector SseB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,441957,442283,-,sseA,1-327/327,===============,0/0,100.00,99.69,vfdb,NP_460362,(sseA) chaperone for sseB and sseD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,442486,442728,-,ssaE,1-243/243,===============,0/0,100.00,100.00,vfdb,NP_460361,(ssaE) chaperone for sseB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,442736,443947,-,ssaD,1-1212/1212,===============,0/0,100.00,99.50,vfdb,NP_460360,(ssaD) type III secretion system outer MS ring protein SsaD [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,443928,445421,-,ssaC,1-1494/1494,===============,0/0,100.00,98.93,vfdb,NP_460359,(ssaC) type III secretion system secretin SsaC [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,445423,445824,-,spiC/ssaB,1-402/402,===============,0/0,100.00,99.75,vfdb,NP_460358,(spiC/ssaB) type III secretion system protein SsaB [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,623964,624974,+,sifA,1-1011/1011,===============,0/0,100.00,99.70,vfdb,NP_460194,(sifA) type III secretion system effector SifA N-terminal SKIP-binding domain C-terminal guanine nucleotide exchange factor activity [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,702341,702667,-,csgC,1-327/327,===============,0/0,100.00,100.00,vfdb,NP_460116,(csgC) curli assembly protein CsgC [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,702729,703184,-,csgA,1-456/456,===============,0/0,100.00,98.90,vfdb,NP_460115,(csgA) curlin major subunit CsgA [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,703226,703681,-,csgB,1-456/456,===============,0/0,100.00,99.78,vfdb,NP_460114,(csgB) minor curlin subunit precursor curli nucleator protein CsgB [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,704436,705086,+,csgD,1-651/651,===============,0/0,100.00,99.69,vfdb,NP_460113,(csgD) DNA-binding transcriptional regulator CsgD [curli fibers/thin aggregative fimbriae (AGF) (AI094)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,705091,705486,+,csgE,1-396/396,===============,0/0,100.00,99.75,vfdb,NP_460112,(csgE) curli production assembly/transport protein CsgE [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,705513,705929,+,csgF,1-417/417,===============,0/0,100.00,100.00,vfdb,NP_460111,(csgF) curli production assembly/transport protein CsgF [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00001,705956,706789,+,csgG,1-834/834,===============,0/0,100.00,99.64,vfdb,NP_460110,(csgG) curli production assembly/transport protein CsgG [Agf (VF0103)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00002,312920,313453,+,fimI,1-534/534,===============,0/0,100.00,98.50,vfdb,NP_459539,(fimI) fimbrial protein internal segment [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00002,313497,314189,+,fimC,1-693/693,===============,0/0,100.00,98.70,vfdb,NP_459540,(fimC) chaperone protein FimC [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00002,314220,316832,+,fimD,1-2613/2613,===============,0/0,100.00,99.00,vfdb,NP_459541,(fimD) usher protein FimD [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00002,316847,317854,+,fimH,1-1008/1008,===============,0/0,100.00,97.92,vfdb,NP_459542,(fimH) type I fimbriae minor fimbrial subunit FimH adhesin [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00002,317864,318382,+,fimF,1-519/519,===============,0/0,100.00,99.23,vfdb,NP_459543,(fimF) type I fimbriae adaptor protein FimF [Type 1 fimbriae (VF0102)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2],
EQA2316_contigs.fa,contig00002,392951,393738,-,fepC,1-788/816,========/======,2/2,96.45,80.48,vfdb,NP_752606,(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073],
EQA2316_contigs.fa,contig00002,393735,394643,-,fepG,85-993/993,.==============,0/0,91.54,80.42,vfdb,NP_752607,(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073],
EQA2316_contigs.fa,contig00002,401223,402073,+,entB,1-851/858,===============,0/0,99.18,80.49,vfdb,NP_752613,(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073],
EQA2316_contigs.fa,contig00002,402104,402831,+,entA,16-743/747,===============,0/0,97.46,80.22,vfdb,NP_752614,(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073],
